ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval+Stemming,TASK1,1,0.20447,0.25765,0.228,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,2,0.07328,0.25926,0.11427,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,3,0.12457,0.13226,0.1283,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,4,0.17734,0.21384,0.19388,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,5,0.02076,0.07407,0.03243,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,6,0.05203,0.12821,0.07402,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,7,0.04177,0.17778,0.06765,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,8,0.01026,0.07407,0.01802,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,9,0.1512,0.16384,0.15727,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,10,0.06278,0.26667,0.10163,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,11,0.01563,0.14286,0.02818,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,12,0.10993,0.30435,0.16151,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,13,0.05691,0.36061,0.0983,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,14,0.24988,0.25806,0.2539,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,15,0.04715,0.14286,0.0709,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,16,0.03664,0.33333,0.06603,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,17,0.06253,0.28571,0.10261,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,18,0.09404,0.42857,0.15424,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,19,0.03639,0.46667,0.06752,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,20,0.11456,0.33333,0.17051,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,21,0.18685,0.35294,0.24434,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,22,0.0469,0.17647,0.0741,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,23,0.13532,0.29885,0.18629,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,24,0.20248,0.22807,0.21452,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,25,0.08867,0.24638,0.13041,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,26,0.04665,0.17429,0.0736,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,27,0.09404,0.25,0.13668,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,28,0.15583,0.22374,0.18371,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,29,0.06253,0.22222,0.0976,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,30,0.06253,0.30769,0.10394,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,31,0.1507,0.17178,0.16055,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,32,0.07866,0.33333,0.12728,3
